Name,SMILES,GSH_half_life_min
1,O=C(C=C)NC1=CC=CC=C1,179
2o,O=C(C=C)NC1=CC=CC=C1F,110
3o,O=C(C=C)NC1=CC=CC=C1Cl,48.3
4o,O=C(C=C)NC1=CC=CC=C1C,311
5o,O=C(C=C)NC1=CC=CC=C1C(F)(F)F,63.5
6o,O=C(C=C)NC1=CC=CC=C1C2=CC=CC=C2,223
7o,O=C(C=C)NC1=CC=CC=C1C(OC)=O,29.9
8o,O=C(C=C)NC1=CC=CC=C1C#N,25.8
9o,O=C(C=C)NC1=CC=CC=C1OC,194
10o,O=C(C=C)NC1=CC=CC=C1SC,72.6
11o,O=C(C=C)NC1=CC=CC=C1N(C)C,82.7
12o,O=C(C=C)NC1=CC=CC=C1[N+]([O-])=O,6
2m,O=C(C=C)NC1=CC=CC(F)=C1,71.6
3m,O=C(C=C)NC1=CC=CC(Cl)=C1,68.1
4m,O=C(C=C)NC1=CC=CC(C)=C1,213
5m,O=C(C=C)NC1=CC=CC(C(F)(F)F)=C1,61.8
6m,O=C(C=C)NC1=CC=CC(C2=CC=CC=C2)=C1,103
7m,O=C(C=C)NC1=CC=CC(C(OC)=O)=C1,116
8m,O=C(C=C)NC1=CC=CC(C#N)=C1,41.4
9m,O=C(C=C)NC1=CC=CC(OC)=C1,116
10m,O=C(C=C)NC1=CC=CC(SC)=C1,87.3
11m,O=C(C=C)NC1=CC=CC(N(C)C)=C1,152
12m,O=C(C=C)NC1=CC=CC([N+]([O-])=O)=C1,25.5
2p,O=C(C=C)NC1=CC=C(F)C=C1,159
3p,O=C(C=C)NC1=CC=C(Cl)C=C1,92.5
4p,O=C(C=C)NC1=CC=C(C)C=C1,265
5p,O=C(C=C)NC1=CC=C(C(F)(F)F)C=C1,39.5
6p,O=C(C=C)NC1=CC=C(C2=CC=CC=C2)C=C1,117
7p,O=C(C=C)NC1=CC=C(C(OC)=O)C=C1,23.3
8p,O=C(C=C)NC1=CC=C(C#N)C=C1,17.3
9p,O=C(C=C)NC1=CC=C(OC)C=C1,342
10p,O=C(C=C)NC1=CC=C(SC)C=C1,136
11p,O=C(C=C)NC1=CC=C(N(C)C)C=C1,247
12p,O=C(C=C)NC1=CC=C([N+]([O-])=O)C=C1,7.9