compound,comp_HOMO (eV),comp_LUMO (eV),comp_SCF (Hartree),comp_SP (Hartree),comp_Ca (a.u.),comp_Cb (a.u.),dCb,carb_HOMO (eV),carb_LUMO (eV),carb_SCF (Hartree),carb_SP (Hartree),dSCF_carb (Hartree),dSP_carb (Hartree),carb_Ca (a.u.),carb_Cb (a.u.),omega_p (eV),activation_energy (kcal/mol),carb_S (a.u.),carb_SC_dis (Å),carb_formation_energy (kcal/mol),omega (eV),comp_Cb_f+ (a.u.),prod_formation (kcal/mol),k_298K (s-1),carb_protonation (kcal/mol),ts_SCF (Hartree),ts_SP (Hartree),prod_SCF (Hartree),prod_SP (Hartree)
1,-9.2701,-0.5764,-630.1322244,-630.1819223,-0.31109261,0.02030219,-0.349444416,-7.6654,1.5864,-1068.435326,-1068.502552,-0.03280178,-0.044852446,-0.492305863,-0.329142227,1.394020415,7.01356044,0.14360708,1.838,-14.68133697,3.004576505,0.265165844,-5.281968754,44597353.66,-18.57778489,-1068.401808,-1068.466428,-1068.90768,-1068.97671
2,-9.2223,-0.4704,-570.9433377,-570.9909389,-0.295886416,0.006906399,-0.335603174,-7.5615,1.5905,-1009.241329,-1009.306483,-0.02769132,-0.039766412,-0.490603843,-0.328696775,1.341829107,7.30233597,0.140295989,1.841,-11.65959923,2.851478691,0.259193887,-6.655673024,27385257.27,-22.97322689,-1009.21156,-1009.273606,-1009.721553,-1009.788199
3,-10.8367,-0.0452,-398.9310298,-398.9518015,-0.300200517,-0.148821019,-0.338725963,-7.6549,1.6567,-837.2437594,-837.2779453,-0.04242972,-0.050366309,-0.502640696,-0.487546982,1.37163216,8.090523575,0.116692252,1.835,-17.38076996,2.656597097,0.413360813,-8.742825948,7235163.111,-19.33920721,-837.2010863,-837.2318391,-837.7172514,-837.7537915
4,-10.7412,0.0809,-339.7426381,-339.7612857,-0.287687445,-0.162357104,-0.32218403,-7.5389,1.6404,-778.0503742,-778.0823893,-0.03743627,-0.045326043,-0.501715115,-0.484541134,1.312614882,7.714601474,0.115114321,1.835,-14.42220712,2.507363377,0.419973502,-8.696396522,13650708.1,-22.25134251,-778.0145702,-778.0459307,-778.5298971,-778.5633648
5,-8.9383,-0.337,-649.3747373,-649.4396553,-0.198733756,-0.037484997,-0.289639781,-6.7846,1.4682,-1087.66285,-1087.746116,-0.01781287,-0.030683129,-0.424501887,-0.327124778,1.250264351,8.803737351,0.142454107,1.842,-5.978112014,2.575714097,0.252635349,-7.375426203,2169535.432,-29.37446729,-1087.639462,-1087.721344,-1088.152578,-1088.237354
6,-9.1248,-0.1907,-643.3203081,-643.3745081,0.016889479,-0.057924338,-0.276415825,-7.202,1.579,-1081.601213,-1081.672953,-0.01060494,-0.022666947,-0.297667571,-0.334340164,1.214147763,10.05932683,0.118822184,1.854,-0.325143469,2.500025493,0.263260832,-8.066593564,260314.7458,-35.7186032,-1081.583879,-1081.654344,-1082.100789,-1082.17469
7,-8.8491,-0.0912,-627.2625171,-627.3192858,0.032423119,-0.083493746,-0.250352112,-7.0132,1.5779,-1065.538805,-1065.612794,-0.00598849,-0.017730378,-0.287900023,-0.333845858,1.140812354,11.65307903,0.117695451,1.854,1.93748451,2.375180419,0.253581488,-8.826999944,17644.81987,-38.74163756,-1065.523523,-1065.596657,-1066.043207,-1066.119693
8,-10.2127,0.4127,-231.3835364,-231.3978492,-0.333596004,-0.265435155,-0.248165441,-7.3292,1.7703,-669.6740595,-669.7011195,-0.02022321,-0.027492882,-0.495799209,-0.513600596,1.129839818,12.88741935,0.107597943,1.838,-2.974878089,2.239187113,0.34207769,-12.33944042,2194.490478,-37.34171544,-669.644139,-669.6697104,-670.1746424,-670.2027029
9,-10.6633,0.6741,-306.6463456,-306.6616844,-0.334590221,-0.269737629,-0.233979414,-7.143,1.769,-744.9268605,-744.954909,-0.01021499,-0.017447118,-0.579838613,-0.503717043,1.100165345,14.89476568,0.097198135,1.844,2.800455556,2.066325554,0.377285966,-11.08381907,73.98029874,-41.8614257,-744.9049689,-744.9317741,-745.4372141,-745.4662878
10,-10.5558,0.7271,-170.9379859,-170.9467193,-0.355600583,-0.249015929,-0.242332423,-6.7914,1.7171,-609.2125636,-609.234058,-0.00427776,-0.011561193,-0.739383223,-0.491348353,1.070240626,14.14113935,0.081470493,1.853,5.015419672,1.996507182,0.424202857,-12.54422187,264.141614,-45.5367926,-609.1969169,-609.2169976,-609.730266,-609.7525881
11,-8.983,0.0033,-537.8491623,-537.8921158,-0.333113405,-0.087547334,-0.256383325,-7.1766,1.6192,-976.1199879,-976.1797507,-0.00052576,-0.011857405,-0.568074093,-0.343930659,1.121638106,15.15804757,0.123081439,1.852,5.339532896,2.319787705,0.21802563,-7.646477791,47.42651699,-40.96316379,-976.1056555,-976.1642082,-976.6292317,-976.6907682
12,-8.9932,-0.0154,-402.1408385,-402.1771066,-0.35729617,-0.071557288,-0.248631431,-6.7079,1.6255,-840.4053439,-840.4581629,0.00579453,-0.005278829,-0.710786208,-0.320188719,1.129938208,15.63193325,0.086874549,1.881,9.615432465,2.319109872,0.215752129,-8.562221819,21.304259,-46.15480739,-840.3962212,-840.4475756,-840.9226028,-840.9771534
13,-8.7461,0.5536,-478.6410864,-478.6814381,-0.315295943,-0.290220946,-0.218988279,-7.2146,1.6917,-916.915308,-916.9688268,-0.00392173,-0.011611268,-0.524619246,-0.509209225,0.902140072,17.384968,0.105865623,1.844,5.922842297,1.874981341,0.353258828,-11.7565406,1.103480604,-45.656536,-916.8960683,-916.9479432,-917.4313095,-917.4863155
14,-10.5011,0.894,-247.4580432,-247.4709785,-0.319460885,-0.291223261,-0.212159264,-7.0648,1.7721,-685.7312747,-685.756947,-0.00293168,-0.010191005,-0.573765815,-0.503382525,1.012456784,17.34759981,0.095556731,1.847,7.684932826,1.838276767,0.388705387,-11.18405116,1.175360496,-46.84613708,-685.7119513,-685.7363623,-686.2484978,-686.2759063
15,-8.8456,-0.0246,-664.4611135,-664.5169861,-0.317380521,-0.284570195,-0.219333715,-6.9993,0.204,-1102.737195,-1102.805999,-0.00578181,-0.01323581,-0.557541728,-0.50390391,1.114959302,16.96382757,0.097983667,1.847,4.681622283,2.299290008,0.011433785,-11.79429784,2.247167018,-44.45307323,-1102.718278,-1102.78566,-1103.251348,-1103.322167
16,-8.8966,-0.0026,-837.863687,-837.9384956,-0.327444998,-0.08442403,-0.264460167,-7.2056,0.1892,-1276.13285,-1276.224588,0.00113651,-0.010314758,-0.510910554,-0.348884197,1.11305038,18.85094936,0.123157435,1.851,6.39031803,2.291012971,0.009636656,-10.28761622,0.092809449,-44.65508735,-1276.115012,-1276.204455,-1276.647911,-1276.741424
16H,-8.967,-0.0576,-838.329411,-838.4062381,-0.275169939,-0.136415233,-0.230600143,-7.1755,0.1753,-1276.608946,-1276.703357,-0.0092352,-0.021340923,-0.587035715,-0.367015376,1.142661194,13.49682517,0.143234634,1.837,-0.285560736,2.325516106,0.009840331,-11.91752188,784.1270148,-39.60911425,-1276.587967,-1276.679769,-1277.115577,-1277.211301
17,-9.0059,-0.1042,-664.463689,-664.519551,-0.319478553,-0.281832498,-0.223907555,-6.9669,0.3663,-1102.742366,-1102.810997,-0.00837712,-0.015668883,-0.544850828,-0.505740053,1.165422363,16.58132289,0.099350136,1.844,3.281134088,2.233258809,0.02821524,-11.50152075,4.287162714,-42.75980794,-1102.720861,-1102.788254,-1103.253889,-1103.324605
18,-8.9388,-0.0713,-837.8663767,-837.9411483,-0.329198485,-0.081459887,-0.269251516,-7.2928,0.3558,-1276.13803,-1276.229766,-0.00135366,-0.01284033,-0.501161551,-0.350711403,1.144374147,17.61521378,0.124943092,1.839,6.074843917,2.220996282,0.024400241,-9.423152895,0.747995575,-43.47514991,-1276.119453,-1276.20889,-1276.649278,-1276.742979
18H,-9.0522,-0.1835,-838.3321304,-838.4090543,-0.275685858,-0.13575073,-0.234153963,-7.491,0.3108,-1276.613051,-1276.707388,-0.01062033,-0.022556287,-0.548374183,-0.369904693,1.202235876,15.48871595,0.146391293,1.837,-1.161476111,2.264895213,0.027114941,-11.09488206,27.13339463,-37.91055905,-1276.588652,-1276.680257,-1277.117206,-1277.213008
19,-9.4147,1.1398,-442.9444805,-442.9851295,-0.307533268,-0.310110004,-0.1931561,-7.0944,1.7837,-881.2167338,-881.2705323,-0.00195342,-0.009625339,-0.555432229,-0.503266104,0.810957056,20.73807115,0.099784923,1.845,7.725959396,1.574604714,0.398457151,-11.89192577,0.00383309,-47.59503827,-881.1968109,-881.2489777,-881.7348633,-881.7911266
20,-9.8827,1.0625,-286.7928218,-286.8103381,-0.309416886,-0.301342598,-0.203131534,-7.0055,1.7577,-725.0614323,-725.0918376,0.00168947,-0.005721975,-0.569578238,-0.504474132,0.922819517,21.28924837,0.094487656,1.84,9.356312463,1.749275967,0.3933626,-11.87505442,0.00151115,-49.2086426,-725.044169,-725.073221,-725.5829596,-725.6151545
21,-10.346,0.3029,-623.9706945,-623.9942644,-0.225036854,-0.248761812,-0.177672577,-7.2036,1.7417,-1062.244702,-1062.283572,-0.00370712,-0.013530278,-0.586511495,-0.426434389,1.101175399,19.57097021,0.140401337,1.844,5.505982584,2.099543961,0.2701884,-12.54151354,0.027511749,-46.02477184,-1062.225105,-1062.261861,-1062.760458,-1062.801258
22,-9.4389,1.0162,-517.9856894,-518.0308898,-0.309163357,-0.299559088,-0.206667103,-7.0831,1.6551,-956.2557966,-956.3139312,0.00019275,-0.007263956,-0.558258311,-0.506226191,0.875064354,21.02064289,0.097731285,1.843,9.162543774,1.766539967,0.3904015,-11.59801521,0.00237852,-48.7378347,-956.2375009,-956.2942117,-956.7759879,-956.8359758
23,-8.8608,1.0781,-632.5704656,-632.6225783,-0.309162047,-0.299575296,-0.206257579,-7.0664,1.6524,-1070.84076,-1070.905761,5.84E-06,-0.007404923,-0.560958675,-0.505832875,0.786679023,21.79945133,0.09696652,1.845,9.369540366,1.690580968,0.3904746,-11.09418148,0.000638436,-48.44099756,-1070.82247,-1070.886158,-1071.360772,-1071.427646
24,-8.7919,0.7801,-517.9651235,-518.0125471,-0.316726499,-0.289657261,-0.219678297,-7.2855,1.6681,-956.2401973,-956.3012158,-0.00477389,-0.012891181,-0.508421886,-0.509335558,0.864440416,18.31742566,0.107780061,1.843,5.384226896,1.763990967,0.3740882,-11.87351702,0.228500105,-45.23501963,-956.2204311,-956.2795224,-956.7549963,-956.8180078
25,-8.1209,0.7167,-593.2246241,-593.2718247,-0.31400553,-0.291874541,-0.215565708,-7.0854,1.6651,-1031.494521,-1031.557205,0.00040308,-0.009602479,-0.541900868,-0.507440249,0.815641428,20.96557892,0.100477878,1.842,7.294014713,1.801951966,0.3670726,-9.372395534,0.002610306,-44.64367969,-1031.475523,-1031.534143,-1032.010751,-1032.072594
26,-9.2591,1.0603,-478.8621145,-478.8986042,-0.312970862,-0.292659889,-0.207554338,-6.8839,1.7331,-917.131018,-917.1804234,0.00139638,-0.006041625,-0.586232222,-0.500214227,0.894350882,20.13518291,0.091304511,1.843,9.503438364,1.766865967,0.3835459,-9.992174216,0.010610021,-47.4728883,-917.1147195,-917.1627692,-917.6503813,-917.7016688
27,-8.8412,1.2657,-460.1952064,-460.2316412,-0.315960487,-0.102322888,-0.242998324,-7.77,0.5532,-898.4570036,-898.5101381,0.00850269,-0.002719485,-0.551462649,-0.345321212,0.76537422,23.08582718,0.116372136,1.841,12.45102038,1.539339971,0.3097577,-9.343040635,7.27227E-05,-49.77133673,-898.4421836,-898.4931737,-898.9791726,-899.0340764
27H,-10.0489,0.749,-460.6611312,-460.6995082,-0.268663497,-0.150654222,-0.2165043,-7.2426,1.6564,-898.9332249,-898.9890734,-0.00179378,-0.013787711,-0.598033327,-0.367158523,1.00121482,17.8531815,0.141327595,1.837,5.10996755,1.87963367,0.2965329,-10.50469896,0.500460686,-43.59194222,-898.9159659,-898.9692389,-899.4471355,-899.5042633
28,-8.676,0.7489,-517.9856637,-518.0323172,-0.12254014,-0.311323527,-0.180421484,-6.9439,1.6878,-956.2530317,-956.3135887,0.00293188,-0.005494079,-0.307065268,-0.491745011,0.87874461,21.23642461,0.103754791,1.842,8.81098152,1.754735967,0.3521038,-10.80566511,0.001652149,-47.59392235,-956.2363124,-956.2948417,-956.7740573,-956.835711
29,-8.8181,-0.093,-703.8057134,-703.8678763,-0.123614195,-0.30830598,-0.178792452,-6.7506,0.2342,-1142.075595,-1142.151209,0.0004187,-0.007555454,-0.324329515,-0.487098432,1.109579182,21.28491228,0.097990989,1.848,7.564214072,2.294850957,0.0100212,-9.808069175,0.001522256,-45.34931423,-1142.057497,-1142.131459,-1142.592642,-1142.669452